#layer  Play  Plev
777  770.5  771.6
778  768.1  769.3
779  765.8  766.9
780  763.4  764.6
781  761.1  762.2
782  758.7  759.9
783  756.4  757.6
784  754.1  755.3
785  751.8  752.9
786  749.5  750.6
787  747.2  748.3
788  744.9  746.0
789  742.6  743.7
790  740.3  741.4
791  738.0  739.2
792  735.7  736.9
793  733.5  734.6
794  731.2  732.3
795  728.9  730.1
796  726.7  727.8
797  724.4  725.6
798  722.2  723.3
799  720.0  721.1
800  717.7  718.8
801  715.5  716.6
802  713.3  714.4
803  711.1  712.2
804  708.8  709.9
805  706.6  707.7
806  704.4  705.5
807  702.2  703.3
808  700.0  701.1
809  697.9  698.9
810  695.7  696.8
811  693.5  694.6
812  691.3  692.4
813  689.2  690.2
814  687.0  688.1
815  684.8  685.9
816  682.7  683.8
817  680.6  681.6
818  678.4  679.5
819  676.3  677.3
820  674.1  675.2
821  672.0  673.1
822  669.9  671.0
823  667.8  668.8
824  665.7  666.7
825  663.6  664.6
826  661.5  662.5
827  659.4  660.4
828  657.3  658.3
829  655.2  656.3
830  653.1  654.2
831  651.1  652.1
832  649.0  650.0
833  646.9  648.0
834  644.9  645.9
835  642.8  643.8
836  640.8  641.8
837  638.7  639.7
838  636.7  637.7
839  634.6  635.7
840  632.6  633.6
841  630.6  631.6
842  628.6  629.6
843  626.6  627.6
844  624.5  625.6
845  622.5  623.5
846  620.5  621.5
847  618.5  619.5
848  616.6  617.6
849  614.6  615.6
850  612.6  613.6
851  610.6  611.6
852  608.6  609.6
853  606.7  607.7
854  604.7  605.7
855  602.8  603.7
856  600.8  601.8
857  598.9  599.8
858  596.9  597.9
859  595.0  596.0
860  593.1  594.0
861  591.1  592.1
862  589.2  590.2
863  587.3  588.3
864  585.4  586.4
865  583.5  584.5
866  581.6  582.6
867  579.7  580.7
868  577.8  578.8
869  576.0  576.9
870  574.1  575.0
871  572.2  573.1
872  570.3  571.3
873  568.5  569.4
874  566.6  567.6
875  564.8  565.7
876  562.9  563.9
877  561.1  562.0
878  559.3  560.2
879  557.4  558.3
880  555.6  556.5
881  553.8  554.7
882  552.0  552.9
883  550.2  551.1
884  548.4  549.3
885  546.6  547.5
886  544.8  545.7
887  543.0  543.9
888  541.2  542.1
889  539.4  540.3
890  537.7  538.5
891  535.9  536.8
892  534.1  535.0
893  532.4  533.3
894  530.6  531.5
895  528.9  529.7
896  527.1  528.0
897  525.4  526.3
898  523.7  524.5
899  521.9  522.8
900  520.2  521.1
901  518.5  519.4
902  516.8  517.6
903  515.1  515.9
904  513.4  514.2
905  511.7  512.5
906  510.0  510.8
907  508.3  509.1
908  506.6  507.4
909  504.9  505.8
910  503.3  504.1
911  501.6  502.4
912  499.9  500.8
913  1011.5  1013.0
914  1008.6  1010.1
915  1005.8  1007.2
916  1002.9  1004.3
917  1000.0  1001.4
918  997.1  998.5
919  994.2  995.7
920  991.4  992.8
921  988.5  990.0
922  985.7  987.1
923  982.9  984.3
924  980.0  981.4
925  977.2  978.6
926  974.4  975.8
927  971.6  973.0
928  968.8  970.2
929  966.0  967.4
930  963.2  964.6
931  960.4  961.8
932  957.6  959.0
933  954.8  956.2
934  952.0  953.4
935  949.3  950.7
936  946.5  947.9
937  943.8  945.1
938  941.0  942.4
939  938.3  939.6
940  935.5  936.9
941  932.8  934.2
942  930.1  931.4
943  927.4  928.7
944  924.7  926.0
945  922.0  923.3
946  919.3  920.6
947  916.6  917.9
948  913.9  915.2
949  911.2  912.5
950  908.5  909.9
951  905.9  907.2
952  903.2  904.5
953  900.5  901.9
954  897.9  899.2
955  895.2  896.6
956  892.6  893.9
957  890.0  891.3
958  887.4  888.7
959  884.7  886.0
960  882.1  883.4
961  879.5  880.8
962  876.9  878.2
963  874.3  875.6
964  871.7  873.0
965  869.1  870.4
966  866.6  867.8
967  864.0  865.3
968  861.4  862.7
969  858.9  860.1
970  856.3  857.6
971  853.7  855.0
972  851.2  852.5
973  848.7  849.9
974  846.1  847.4
975  843.6  844.9
976  841.1  842.3
977  838.6  839.8
978  836.1  837.3
979  833.6  834.8
980  831.1  832.3
981  828.6  829.8
982  826.1  827.3
983  823.6  824.8
984  821.1  822.4
985  818.7  819.9
986  816.2  817.4
987  813.7  815.0
988  811.3  812.5
989  808.8  810.1
990  806.4  807.6
991  804.0  805.2
992  801.5  802.7
993  799.1  800.3
994  796.7  797.9
995  794.3  795.5
996  791.9  793.1
997  789.5  790.7
998  787.1  788.3
999  784.7  785.9
1000  782.3  783.5
1001  779.9  781.1
1002  777.5  778.7
1003  775.2  776.4
1004  772.8  774.0
1005  770.4  771.6
1006  768.1  769.3
1007  765.8  766.9
1008  763.4  764.6
1009  761.1  762.2
1010  758.7  759.9
1011  756.4  757.6
1012  754.1  755.3
1013  751.8  752.9
1014  749.5  750.6
1015  747.2  748.3
1016  744.9  746.0
1017  742.6  743.7
1018  740.3  741.4
1019  738.0  739.2
1020  735.7  736.9
1021  733.5  734.6
1022  731.2  732.3
1023  728.9  730.1
1024  726.7  727.8
1025  724.4  725.6
1026  722.2  723.3
1027  720.0  721.1
1028  717.7  718.8
1029  715.5  716.6
1030  713.3  714.4
1031  711.1  712.2
1032  708.8  709.9
1033  706.6  707.7
1034  704.4  705.5
1035  702.2  703.3
1036  700.0  701.1
1037  697.9  698.9
1038  695.7  696.8
1039  693.5  694.6
1040  691.3  692.4
1041  689.2  690.2
1042  687.0  688.1
1043  684.8  685.9
1044  682.7  683.8
1045  680.6  681.6
1046  678.4  679.5
1047  676.3  677.3
1048  674.1  675.2
1049  672.0  673.1
1050  669.9  671.0
1051  667.8  668.8
1052  665.7  666.7
1053  663.6  664.6
1054  661.5  662.5
1055  659.4  660.4
1056  657.3  658.3
1057  655.2  656.2
1058  653.1  654.2
1059  651.1  652.1
1060  649.0  650.0
1061  646.9  648.0
1062  644.9  645.9
1063  642.8  643.8
1064  640.8  641.8
1065  638.7  639.7
1066  636.7  637.7
1067  634.6  635.7
1068  632.6  633.6
1069  630.6  631.6
1070  628.6  629.6
1071  626.6  627.6
1072  624.5  625.6
1073  622.5  623.5
1074  620.5  621.5
1075  618.5  619.5
1076  616.6  617.6
1077  614.6  615.6
1078  612.6  613.6
1079  610.6  611.6
1080  608.6  609.6
1081  606.7  607.7
1082  604.7  605.7
1083  602.8  603.7
1084  600.8  601.8
1085  598.9  599.8
1086  596.9  597.9
1087  595.0  596.0
1088  593.1  594.0
1089  591.1  592.1
1090  589.2  590.2
1091  587.3  588.3
1092  585.4  586.4
1093  583.5  584.5
1094  581.6  582.6
1095  579.7  580.7
1096  577.8  578.8
1097  576.0  576.9
1098  574.1  575.0
1099  572.2  573.1
1100  570.3  571.3
1101  568.5  569.4
1102  566.6  567.6
1103  564.8  565.7
1104  562.9  563.9
1105  561.1  562.0
1106  559.3  560.2
1107  557.4  558.3
1108  555.6  556.5
1109  553.8  554.7
1110  552.0  552.9
1111  550.2  551.1
1112  548.4  549.3
1113  546.6  547.5
1114  544.8  545.7
1115  543.0  543.9
1116  541.2  542.1
1117  539.4  540.3
1118  537.7  538.5
1119  535.9  536.8
1120  534.1  535.0
1121  532.4  533.3
1122  530.6  531.5
1123  528.9  529.7
1124  527.1  528.0
1125  525.4  526.3
1126  523.7  524.5
1127  521.9  522.8
1128  520.2  521.1
1129  518.5  519.4
1130  516.8  517.6
1131  515.1  515.9
1132  513.4  514.2
1133  511.7  512.5
1134  510.0  510.8
1135  508.3  509.1
1136  506.6  507.4
1137  504.9  505.8
1138  503.3  504.1
1139  501.6  502.4
1140  499.9  500.8
1141  1011.5  1013.0
1142  1008.6  1010.1
1143  1005.7  1007.2
1144  1002.9  1004.3
1145  1000.0  1001.4
1146  997.1  998.5
1147  994.2  995.7
1148  991.4  992.8
1149  988.5  990.0
1150  985.7  987.1
1151  982.9  984.3
1152  980.0  981.4
1153  977.2  978.6
1154  974.4  975.8
1155  971.6  973.0
1156  968.8  970.2
1157  966.0  967.4
1158  963.2  964.6
1159  960.4  961.8
1160  957.6  959.0
1161  954.8  956.2
1162  952.0  953.4
1163  949.3  950.7
1164  946.5  947.9
1165  943.8  945.1
1166  941.0  942.4
1167  938.3  939.6
1168  935.5  936.9
1169  932.8  934.2
1170  930.1  931.4
1171  927.4  928.7
1172  924.7  926.0
1173  922.0  923.3
1174  919.3  920.6
1175  916.6  917.9
1176  913.9  915.2
1177  911.2  912.5
1178  908.5  909.9
1179  905.9  907.2
1180  903.2  904.5
1181  900.5  901.9
1182  897.9  899.2
1183  895.2  896.6
1184  892.6  893.9
1185  890.0  891.3
1186  887.4  888.7
1187  884.7  886.0
1188  882.1  883.4
1189  879.5  880.8
1190  876.9  878.2
1191  874.3  875.6
1192  871.7  873.0
1193  869.1  870.4
1194  866.6  867.8
1195  864.0  865.3
1196  861.4  862.7
1197  858.9  860.1
1198  856.3  857.6
1199  853.7  855.0
1200  851.2  852.5
1201  848.7  849.9
1202  846.1  847.4
1203  843.6  844.9
1204  841.1  842.3
1205  838.6  839.8
1206  836.1  837.3
1207  833.6  834.8
1208  831.1  832.3
1209  828.6  829.8
1210  826.1  827.3
1211  823.6  824.8
1212  821.1  822.4
1213  818.7  819.9
1214  816.2  817.4
1215  813.7  815.0
1216  811.3  812.5
1217  808.8  810.1
1218  806.4  807.6
1219  804.0  805.2
1220  801.5  802.7
1221  799.1  800.3
1222  796.7  797.9
1223  794.3  795.5
1224  791.9  793.1
1225  789.5  790.7
1226  787.1  788.3
1227  784.7  785.9
1228  782.3  783.5
1229  779.9  781.1
1230  777.5  778.7
1231  775.2  776.4
1232  772.8  774.0
1233  770.4  771.6
1234  768.1  769.3
1235  765.8  766.9
1236  763.4  764.6
1237  761.1  762.2
1238  758.7  759.9
1239  756.4  757.6
1240  754.1  755.3
1241  751.8  752.9
1242  749.5  750.6
1243  747.2  748.3
1244  744.9  746.0
1245  742.6  743.7
1246  740.3  741.4
1247  738.0  739.2
1248  735.7  736.9
1249  733.5  734.6
1250  731.2  732.3
1251  728.9  730.1
1252  726.7  727.8
1253  724.4  725.6
1254  722.2  723.3
1255  720.0  721.1
1256  717.7  718.8
1257  715.5  716.6
1258  713.3  714.4
1259  711.1  712.2
1260  708.8  709.9
1261  706.6  707.7
1262  704.4  705.5
1263  702.2  703.3
1264  700.0  701.1
1265  697.9  698.9
1266  695.7  696.8
1267  693.5  694.6
1268  691.3  692.4
1269  689.2  690.2
1270  687.0  688.1
1271  684.8  685.9
1272  682.7  683.8
1273  680.5  681.6
1274  678.4  679.5
1275  676.3  677.3
1276  674.1  675.2
1277  672.0  673.1
1278  669.9  671.0
1279  667.8  668.8
1280  665.7  666.7
1281  663.6  664.6
1282  661.5  662.5
1283  659.4  660.4
1284  657.3  658.3
1285  655.2  656.2
1286  653.1  654.2
1287  651.1  652.1
1288  649.0  650.0
1289  646.9  648.0
1290  644.9  645.9
1291  642.8  643.8
1292  640.8  641.8
1293  638.7  639.7
1294  636.7  637.7
1295  634.6  635.7
1296  632.6  633.6
1297  630.6  631.6
1298  628.6  629.6
1299  626.6  627.6
1300  624.5  625.5
1301  622.5  623.5
1302  620.5  621.5
1303  618.5  619.5
1304  616.6  617.6
1305  614.6  615.6
1306  612.6  613.6
1307  610.6  611.6
1308  608.6  609.6
1309  606.7  607.7
1310  604.7  605.7
1311  602.8  603.7
1312  600.8  601.8
1313  598.9  599.8
1314  596.9  597.9
1315  595.0  596.0
1316  593.1  594.0
1317  591.1  592.1
1318  589.2  590.2
1319  587.3  588.3
1320  585.4  586.4
1321  583.5  584.5
1322  581.6  582.6
1323  579.7  580.7
1324  577.8  578.8
1325  576.0  576.9
1326  574.1  575.0
1327  572.2  573.1
1328  570.3  571.3
1329  568.5  569.4
1330  566.6  567.6
1331  564.8  565.7
1332  562.9  563.9
1333  561.1  562.0
1334  559.3  560.2
1335  557.4  558.3
1336  555.6  556.5
1337  553.8  554.7
1338  552.0  552.9
1339  550.2  551.1
1340  548.4  549.3
1341  546.6  547.5
1342  544.8  545.7
1343  543.0  543.9
1344  541.2  542.1
1345  539.4  540.3
1346  537.7  538.5
1347  535.9  536.8
1348  534.1  535.0
1349  532.4  533.3
1350  530.6  531.5
1351  528.9  529.7
1352  527.1  528.0
1353  525.4  526.3
1354  523.7  524.5
