# pres  Tmin  Tmax  qmin  qmax
7.476746666666665988e+04 2.649916010528719994e+02 2.676706305214015629e+02 5.772417061962187290e-04 3.385085146874189377e-03
7.453736666666666861e+04 2.648164816413549829e+02 2.675739453051963892e+02 4.932557349093258381e-04 3.368963021785020828e-03
7.430780000000000291e+04 2.646150766301988710e+02 2.674875611829858144e+02 5.604060715995728970e-04 3.357843495905399323e-03
7.407875000000000000e+04 2.644236652395822489e+02 2.670292600901827313e+02 5.951484199613332748e-04 3.244311315938830376e-03
7.385013333333333139e+04 2.642324782335832083e+02 2.668463786662024404e+02 5.024207639507949352e-04 3.206192050129175186e-03
7.362189999999999418e+04 2.640270327698647179e+02 2.668267400493385253e+02 4.691887297667562962e-04 3.211429109796881676e-03
7.339486666666666861e+04 2.638565265530690453e+02 2.668581768662991749e+02 4.682122380472719669e-04 3.230372443795204163e-03
7.316800000000000000e+04 2.636208696442259907e+02 2.665152391513188945e+02 4.226217570248991251e-04 3.150190459564328194e-03
7.294155000000000291e+04 2.634740371362240694e+02 2.663601882567954817e+02 3.213600430171936750e-04 3.119738772511482239e-03
7.271588333333333139e+04 2.632810381550287957e+02 2.661862214534781970e+02 4.416526062414050102e-04 3.084539435803890228e-03
7.249058333333332848e+04 2.630657317789506351e+02 2.660273452387815496e+02 3.038792638108134270e-04 3.054094035178422928e-03
7.226598333333333721e+04 2.628740563047295495e+02 2.659025008927431486e+02 1.137778162956237793e-04 3.030766267329454422e-03
7.204185000000000582e+04 2.626844297932653376e+02 2.656282778905243163e+02 3.923785989172756672e-04 2.972431015223264694e-03
7.181735000000000582e+04 2.624947650957390124e+02 2.655409096590223612e+02 3.369481710251420736e-04 2.959003672003746033e-03
7.159546666666665988e+04 2.623000352552540448e+02 2.653746794539904386e+02 1.511978625785559416e-04 2.928767818957567215e-03
7.137308333333332848e+04 2.620652946046887450e+02 2.652216320011907555e+02 2.379291690886020660e-04 2.899845363572239876e-03
7.115023333333333721e+04 2.619132574681540859e+02 2.650373863795560965e+02 1.342509640380740166e-04 2.863834146410226822e-03
7.092791666666667152e+04 2.617010284501656656e+02 2.650700910795707728e+02 1.240057317772880197e-04 2.880362793803215027e-03
